,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
126,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,1 750 	 bis unter	2 000 Euro,1 750 	 bis unter	2 000 Euro,eine Person,GBS
127,,,,,nan,,Weiblich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
128,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1977,Deutschland,Männlich,Abitur,Deutschland,5000	 bis unter	5 500 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
129,,,,,nan,,Männlich,Abitur,,,2 250	 bis unter	2 500 Euro,,GBS
130,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
131,,,,,nan,,Weiblich,Realschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
132,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1967,Deutschland,Weiblich,Realschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
133,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
134,,,,,nan,,Männlich,Hochschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
135,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Vollzeiterwerbstätig,Ledig,1996,Deutschland,Weiblich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
136,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Nicht erwerbstätig,Ledig,1995,Deutschland,Männlich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,500 	 bis unter	800 Euro,eine Person,GBS
137,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
138,,,,,nan,,Männlich,Hochschulabschluss,,,4 500	 bis unter	5 000 Euro,,GBS
139,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",[NA] Keine Angabe,,Verheiratet,1961,Deutschland,Weiblich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,kein eigenes Einkommen,[NA] Keine Angabe,GBS
140,,,,,nan,,Weiblich,Abitur,,,kein eigenes Einkommen,,GBS
141,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1985,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
142,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1986,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
143,,,,,nan,,Weiblich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
144,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Männlich,Abitur,Deutschland,6 000	 bis unter 	7 500 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
145,,,,,nan,,Männlich,Abitur,,,801	 bis unter 	1 000 Euro,,GBS
146,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1967,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,4 000	 bis unter	4 500 Euro,eine Person,GBS
147,,,,,nan,,Männlich,Hochschulabschluss,,,4 000	 bis unter	4 500 Euro,,GBS
148,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1961,Deutschland,Männlich,Abitur,Deutschland,6 000	 bis unter 	7 500 Euro,6 000	 bis unter 	7 500 Euro,eine Person,GBS
149,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1989,Deutschland,Männlich,Abitur,Deutschland,2 000	 bis unter	2 250 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
150,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
151,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1960,Andere,Weiblich,Andere,Deutschland,2 500 	 bis unter 	2 750 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
152,,,,,nan,,Weiblich,Andere,,,1 000 	 bis unter 	1 250 Euro,,GBS
153,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Ausbildung,Vollzeiterwerbstätig,Ledig,1980,Deutschland,Männlich,Abitur,Andere,1 750 	 bis unter	2 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
154,,,,,nan,,Männlich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
155,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
156,,,,,nan,,Weiblich,Hochschulabschluss,,,Angabe verweigert,,GBS
157,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
158,,,,,nan,,Männlich,Hochschulabschluss,,,3 250	 bis unter 	3 500 Euro,,GBS
159,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,eine Person,GBS
160,,,,,nan,,Weiblich,Hochschulabschluss,,,Angabe verweigert,,GBS
161,"Anderer Abschluss, und zwar:","Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,6 000	 bis unter 	7 500 Euro,"mehrere Personen, und zwar:",GBS
162,Promotion,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1951,Deutschland,Männlich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
163,,,,,nan,,Männlich,Hochschulabschluss,,,4 500	 bis unter	5 000 Euro,,GBS
164,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1993,Deutschland,Männlich,Abitur,Deutschland,1 000 	 bis unter 	1 250 Euro,1 000 	 bis unter 	1 250 Euro,eine Person,GBS
165,,,,,nan,,Männlich,Abitur,,,1 000 	 bis unter 	1 250 Euro,,GBS
166,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1976,Deutschland,Weiblich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
167,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Männlich,Realschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,3 500	 bis unter 	3 750 Euro,"mehrere Personen, und zwar:",GBS
168,,,,,nan,,Männlich,Realschulabschluss,,,3 500	 bis unter 	3 750 Euro,,GBS
169,,,,,nan,,,,,,,,GBS
170,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1980,Deutschland,Männlich,Abitur,Deutschland,3 500	 bis unter 	3 750 Euro,3 500	 bis unter 	3 750 Euro,eine Person,GBS
171,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1996,Deutschland,Männlich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
172,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
173,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1969,Deutschland,Männlich,Realschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,2 750	 bis unter 	3 000 Euro,eine Person,GBS
174,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1968,Deutschland,Weiblich,Abitur,Deutschland,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
175,,,,,nan,,Weiblich,Abitur,,,2 250	 bis unter	2 500 Euro,,GBS
176,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Nicht erwerbstätig,Ledig,1995,Deutschland,Weiblich,Abitur,Deutschland,1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,eine Person,GBS
177,,,,,nan,,Weiblich,Abitur,,,1 250 	 bis unter 	1 500 Euro,,GBS
178,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 250 	 bis unter 	1 500 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
179,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
180,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1981,Deutschland,Männlich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,3 000	 bis unter 	3 250 Euro,eine Person,GBS
181,,,,,nan,,Männlich,Realschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
182,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,5 500	 bis unter	6 000 Euro,"mehrere Personen, und zwar:",GBS
183,,,,,nan,,Männlich,Hochschulabschluss,,,5 500	 bis unter	6 000 Euro,,GBS
184,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1986,Deutschland,Weiblich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 000	 bis unter 	3 250 Euro,[NA] Keine Angabe,GBS
185,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
186,,,,,nan,,Weiblich,Hochschulabschluss,,,Angabe verweigert,,GBS
187,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1992,Deutschland,Männlich,Hochschulabschluss,Deutschland,1 000 	 bis unter 	1 250 Euro,1 000 	 bis unter 	1 250 Euro,eine Person,GBS
188,,,,,nan,,Männlich,Hochschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
189,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
190,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Männlich,Hochschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
191,,,,,nan,,Männlich,Hochschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
192,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1974,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
193,,,,,nan,,Weiblich,Realschulabschluss,,,2 000	 bis unter	2 250 Euro,,GBS
194,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
195,,,,,nan,,Weiblich,Hauptschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
196,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Männlich,Hochschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
197,,,,,nan,,Männlich,Hochschulabschluss,,,4 500	 bis unter	5 000 Euro,,GBS
198,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
199,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
200,,,,,nan,,Männlich,Hochschulabschluss,,,Angabe verweigert,,GBS
201,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,,1949,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
202,,,,,nan,,Weiblich,Hochschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
203,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,1 500	 bis unter	1 750 Euro,401 	 bis unter 500 Euro,"mehrere Personen, und zwar:",GBS
204,,,,,nan,,Weiblich,Abitur,,,401 	 bis unter 500 Euro,,GBS
205,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Ausbildung,Nicht erwerbstätig,Ledig,1991,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1 000 	 bis unter 	1 250 Euro,1 000 	 bis unter 	1 250 Euro,eine Person,GBS
206,,,,,nan,,Weiblich,Hochschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
207,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1988,Deutschland,Weiblich,Abitur,Deutschland,3 500	 bis unter 	3 750 Euro,kein eigenes Einkommen,eine Person,GBS
208,,,,,nan,,Weiblich,Abitur,,,kein eigenes Einkommen,,GBS
209,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1991,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,2 000	 bis unter	2 250 Euro,eine Person,GBS
210,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,"Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1971,Deutschland,Weiblich,Abitur,Deutschland,1 750 	 bis unter	2 000 Euro,1 750 	 bis unter	2 000 Euro,eine Person,GBS
211,,,,,nan,,Weiblich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
212,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Weiblich,Abitur,Deutschland,4 500	 bis unter	5 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
213,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Männlich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
214,,,,,nan,,Männlich,Abitur,,,4 500	 bis unter	5 000 Euro,,GBS
215,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1952,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
216,,,,,nan,,Männlich,Hochschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
217,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1975,Andere,Männlich,Realschulabschluss,Andere,Angabe verweigert,Angabe verweigert,eine Person,GBS
218,,,,,nan,,Männlich,Realschulabschluss,,,Angabe verweigert,,GBS
219,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1980,Deutschland,Männlich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
220,,,,,nan,,Männlich,Abitur,,,2 250	 bis unter	2 500 Euro,,GBS
221,Promotion,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1950,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,401 	 bis unter 500 Euro,"mehrere Personen, und zwar:",GBS
222,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1988,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
223,,,,,nan,,Männlich,Hochschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
224,"Fachhochschulabschluss (z. B. Diplom, Master)",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1950,Deutschland,Männlich,Abitur,Deutschland,4 500	 bis unter	5 000 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
225,"Anderer Abschluss, und zwar:",Angestellte(r),Nicht erwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
226,,,,,nan,,Weiblich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
227,"Fachhochschulabschluss (z. B. Diplom, Master)","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1972,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,7 500 	 bis unter 	10 000 Euro,"mehrere Personen, und zwar:",GBS
228,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1981,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
229,,,,,nan,,Weiblich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
230,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1985,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,kein eigenes Einkommen,"mehrere Personen, und zwar:",GBS
231,,,,,nan,,Weiblich,Hochschulabschluss,,,kein eigenes Einkommen,,GBS
232,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1967,Deutschland,Männlich,Hauptschulabschluss,Deutschland,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,eine Person,GBS
233,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1979,Andere,Weiblich,Hochschulabschluss,Andere,3 000	 bis unter 	3 250 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
234,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
235,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
236,,,,,nan,,Männlich,Hochschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
237,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1992,Deutschland,Männlich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
238,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
239,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1952,Deutschland,Männlich,Andere,Deutschland,2 750	 bis unter 	3 000 Euro,1 250 	 bis unter 	1 500 Euro,[NA] Keine Angabe,GBS
240,,,,,nan,,Männlich,Andere,,,1 250 	 bis unter 	1 500 Euro,,GBS
241,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,10 000	 bis unter	20 000 Euro,"mehrere Personen, und zwar:",GBS
242,,,,,nan,,Männlich,Hochschulabschluss,,,10 000	 bis unter	20 000 Euro,,GBS
243,Bachelor an (Fach-)Hochschule abgeschlossen,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1984,Deutschland,Männlich,Hochschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
244,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,,Ledig,1996,Deutschland,Männlich,Abitur,Deutschland,1 250 	 bis unter 	1 500 Euro,1 000 	 bis unter 	1 250 Euro,eine Person,GBS
